water_system_name,variable,variable_type,variable_group_type,value
CAL AM FRUITRIDGE VISTA,Income 25k-50k,Count,Households,1948
CAL AM FRUITRIDGE VISTA,Income 50k-75k,Count,Households,1569
CAL AM FRUITRIDGE VISTA,Income 0-50k,Count,Households,3425
CAL AM FRUITRIDGE VISTA,Income 50k-100k,Count,Households,2352
CAL AM FRUITRIDGE VISTA,Income 100k-150k,Count,Households,694
CAL AM FRUITRIDGE VISTA,Mortgage - Total,Count,Households,1620
CAL AM FRUITRIDGE VISTA,Mortgage - Housing Costs Over 30% Income,Count,Households,745
CAL AM FRUITRIDGE VISTA,Mortgage - Housing Costs Over 50% Income,Count,Households,345
CAL AM FRUITRIDGE VISTA,No Mortgage - Total,Count,Households,1236
CAL AM FRUITRIDGE VISTA,No Mortgage - Housing Costs Over 30% Income,Count,Households,95
CAL AM FRUITRIDGE VISTA,No Mortgage - Housing Costs Over 50% Income,Count,Households,58
CAL AM FRUITRIDGE VISTA,Rent - Total,Count,Households,4044
CAL AM FRUITRIDGE VISTA,Rent - Housing Costs Over 30% Income,Count,Households,2131
CAL AM FRUITRIDGE VISTA,Rent - Housing Costs Over 50% Income,Count,Households,1059
CAL AM FRUITRIDGE VISTA,All Households - Housing Costs Over 30% Income,Percent,Households,43.06
CAL AM FRUITRIDGE VISTA,All Households - Housing Costs Over 50% Income,Percent,Households,21.18
CAL AM FRUITRIDGE VISTA,Average Household Size,Hh Weighted,Household Weighted,3.2578059416417346
CAL AM FRUITRIDGE VISTA,Median Household Income,Hh Weighted,Household Weighted,53040.44113156888
CAL AM FRUITRIDGE VISTA,Per Capita Income,Pop Weighted,Population Weighted,20519.569076441432
CALAM - ANTELOPE,Total Population,Count,Population,33120
CALAM - ANTELOPE,Hispanic / Latino,Count,Population,5245
CALAM - ANTELOPE,White,Count,Population,19456
CALAM - ANTELOPE,Black / African American,Count,Population,3199
CALAM - ANTELOPE,Native American,Count,Population,113
CALAM - ANTELOPE,Asian,Count,Population,2947
CALAM - ANTELOPE,Pacific Islander,Count,Population,77
CALAM - ANTELOPE,Other / Multiple,Count,Population,2082
CALAM - ANTELOPE,Hispanic / Latino,Percent,Population,15.84
CALAM - ANTELOPE,White,Percent,Population,58.74
CALAM - ANTELOPE,Black / African American,Percent,Population,9.66
CALAM - ANTELOPE,Native American,Percent,Population,0.34
CALAM - ANTELOPE,Asian,Percent,Population,8.9
CALAM - ANTELOPE,Pacific Islander,Percent,Population,0.23
CALAM - ANTELOPE,Other / Multiple,Percent,Population,6.29
CALAM - ANTELOPE,Poverty - Total Assessed,Count,Population,33034
CALAM - ANTELOPE,Poverty - Below Level,Count,Population,3389
CALAM - ANTELOPE,Poverty - Above Level,Count,Population,29645
CALAM - ANTELOPE,Poverty Rate,Percent,Population,10.26
CALAM - ANTELOPE,Total Households,Count,Households,10529
CALAM - ANTELOPE,Income Below 10k,Count,Households,315
CALAM - ANTELOPE,Income 10k-15k,Count,Households,184
CALAM - ANTELOPE,Income 15k-20k,Count,Households,101
CALAM - ANTELOPE,Income 20k-25k,Count,Households,122
CALAM - ANTELOPE,Income 25k-30k,Count,Households,116
CALAM - ANTELOPE,Income 30k-35k,Count,Households,469
CALAM - ANTELOPE,Income 35k-40k,Count,Households,248
CALAM - ANTELOPE,Income 40k-45k,Count,Households,368
CALAM - ANTELOPE,Income 45k-50k,Count,Households,449
CALAM - ANTELOPE,Income 50k-60k,Count,Households,737
CALAM - ANTELOPE,Income 60k-75k,Count,Households,1077
CALAM - ANTELOPE,Income 75k-100k,Count,Households,1669
CALAM - ANTELOPE,Income 100k-125k,Count,Households,1501
CALAM - ANTELOPE,Income 125k-150k,Count,Households,1077
CALAM - ANTELOPE,Income 150k-200k,Count,Households,1158
CALAM - ANTELOPE,Income Above 200k,Count,Households,937
CALAM - ANTELOPE,Income 0-25k,Count,Households,723
CALAM - ANTELOPE,Income 25k-50k,Count,Households,1650
CALAM - ANTELOPE,Income 50k-75k,Count,Households,1814
CALAM - ANTELOPE,Income 0-50k,Count,Households,2373
CALAM - ANTELOPE,Income 50k-100k,Count,Households,3483
CALAM - ANTELOPE,Income 100k-150k,Count,Households,2578
CALAM - ANTELOPE,Mortgage - Total,Count,Households,5544
CALAM - ANTELOPE,Mortgage - Housing Costs Over 30% Income,Count,Households,1861
CALAM - ANTELOPE,Mortgage - Housing Costs Over 50% Income,Count,Households,621
CALAM - ANTELOPE,No Mortgage - Total,Count,Households,1747
CALAM - ANTELOPE,No Mortgage - Housing Costs Over 30% Income,Count,Households,184
CALAM - ANTELOPE,No Mortgage - Housing Costs Over 50% Income,Count,Households,106
CALAM - ANTELOPE,Rent - Total,Count,Households,3238
CALAM - ANTELOPE,Rent - Housing Costs Over 30% Income,Count,Households,1678
CALAM - ANTELOPE,Rent - Housing Costs Over 50% Income,Count,Households,649
CALAM - ANTELOPE,All Households - Housing Costs Over 30% Income,Percent,Households,35.36
CALAM - ANTELOPE,All Households - Housing Costs Over 50% Income,Percent,Households,13.07
CALAM - ANTELOPE,Average Household Size,Hh Weighted,Household Weighted,3.1345302087117366
CALAM - ANTELOPE,Median Household Income,Hh Weighted,Household Weighted,93741.54894285185
CALAM - ANTELOPE,Per Capita Income,Pop Weighted,Population Weighted,34660.43709201826
CALAM - ARDEN,Total Population,Count,Population,10112
CALAM - ARDEN,Hispanic / Latino,Count,Population,3433
CALAM - ARDEN,White,Count,Population,2392
CALAM - ARDEN,Black / African American,Count,Population,1977
CALAM - ARDEN,Native American,Count,Population,70
CALAM - ARDEN,Asian,Count,Population,1082
CALAM - ARDEN,Pacific Islander,Count,Population,59
CALAM - ARDEN,Other / Multiple,Count,Population,1100
CALAM - ARDEN,Hispanic / Latino,Percent,Population,33.95
CALAM - ARDEN,White,Percent,Population,23.65
CALAM - ARDEN,Black / African American,Percent,Population,19.55
CALAM - ARDEN,Native American,Percent,Population,0.69
CALAM - ARDEN,Asian,Percent,Population,10.7
CALAM - ARDEN,Pacific Islander,Percent,Population,0.58
CALAM - ARDEN,Other / Multiple,Percent,Population,10.87
CALAM - ARDEN,Poverty - Total Assessed,Count,Population,10034
CALAM - ARDEN,Poverty - Below Level,Count,Population,3130
CALAM - ARDEN,Poverty - Above Level,Count,Population,6904
CALAM - ARDEN,Poverty Rate,Percent,Population,31.19
CALAM - ARDEN,Total Households,Count,Households,3823
CALAM - ARDEN,Income Below 10k,Count,Households,201
CALAM - ARDEN,Income 10k-15k,Count,Households,259
CALAM - ARDEN,Income 15k-20k,Count,Households,239
CALAM - ARDEN,Income 20k-25k,Count,Households,167
CALAM - ARDEN,Income 25k-30k,Count,Households,319
CALAM - ARDEN,Income 30k-35k,Count,Households,190
CALAM - ARDEN,Income 35k-40k,Count,Households,142
CALAM - ARDEN,Income 40k-45k,Count,Households,236
CALAM - ARDEN,Income 45k-50k,Count,Households,207
CALAM - ARDEN,Income 50k-60k,Count,Households,440
CALAM - ARDEN,Income 60k-75k,Count,Households,394
CALAM - ARDEN,Income 75k-100k,Count,Households,535
CALAM - ARDEN,Income 100k-125k,Count,Households,228
CALAM - ARDEN,Income 125k-150k,Count,Households,148
CALAM - ARDEN,Income 150k-200k,Count,Households,62
CALAM - ARDEN,Income Above 200k,Count,Households,58
CALAM - ARDEN,Income 0-25k,Count,Households,866
CALAM - ARDEN,Income 25k-50k,Count,Households,1093
CALAM - ARDEN,Income 50k-75k,Count,Households,834
CALAM - ARDEN,Income 0-50k,Count,Households,1959
CALAM - ARDEN,Income 50k-100k,Count,Households,1368
CALAM - ARDEN,Income 100k-150k,Count,Households,376
CALAM - ARDEN,Mortgage - Total,Count,Households,265
CALAM - ARDEN,Mortgage - Housing Costs Over 30% Income,Count,Households,84
CALAM - ARDEN,Mortgage - Housing Costs Over 50% Income,Count,Households,46
CALAM - ARDEN,No Mortgage - Total,Count,Households,133
CALAM - ARDEN,No Mortgage - Housing Costs Over 30% Income,Count,Households,8
CALAM - ARDEN,No Mortgage - Housing Costs Over 50% Income,Count,Households,3
CALAM - ARDEN,Rent - Total,Count,Households,3426
CALAM - ARDEN,Rent - Housing Costs Over 30% Income,Count,Households,2124
CALAM - ARDEN,Rent - Housing Costs Over 50% Income,Count,Households,1170
CALAM - ARDEN,All Households - Housing Costs Over 30% Income,Percent,Households,57.97
CALAM - ARDEN,All Households - Housing Costs Over 50% Income,Percent,Households,31.87
CALAM - ARDEN,Average Household Size,Hh Weighted,Household Weighted,2.6236426838601012
CALAM - ARDEN,Median Household Income,Hh Weighted,Household Weighted,49624.62015306522
CALAM - ARDEN,Per Capita Income,Pop Weighted,Population Weighted,22770.82157980776
CALAM - ISLETON,Total Population,Count,Population,34
CALAM - ISLETON,Hispanic / Latino,Count,Population,14
CALAM - ISLETON,White,Count,Population,17
CALAM - ISLETON,Black / African American,Count,Population,0
CALAM - ISLETON,Native American,Count,Population,0
CALAM - ISLETON,Asian,Count,Population,2
CALAM - ISLETON,Pacific Islander,Count,Population,0
CALAM - ISLETON,Other / Multiple,Count,Population,1
CALAM - ISLETON,Hispanic / Latino,Percent,Population,42.06
CALAM - ISLETON,White,Percent,Population,51.14
CALAM - ISLETON,Black / African American,Percent,Population,0
CALAM - ISLETON,Native American,Percent,Population,0
CALAM - ISLETON,Asian,Percent,Population,4.55
CALAM - ISLETON,Pacific Islander,Percent,Population,0
CALAM - ISLETON,Other / Multiple,Percent,Population,2.25
CALAM - ISLETON,Poverty - Total Assessed,Count,Population,34
CALAM - ISLETON,Poverty - Below Level,Count,Population,7
CALAM - ISLETON,Poverty - Above Level,Count,Population,27
CALAM - ISLETON,Poverty Rate,Percent,Population,20.89
CALAM - ISLETON,Total Households,Count,Households,16
CALAM - ISLETON,Income Below 10k,Count,Households,1
CALAM - ISLETON,Income 10k-15k,Count,Households,1
CALAM - ISLETON,Income 15k-20k,Count,Households,0
CALAM - ISLETON,Income 20k-25k,Count,Households,1
CALAM - ISLETON,Income 25k-30k,Count,Households,1
CALAM - ISLETON,Income 30k-35k,Count,Households,0
CALAM - ISLETON,Income 35k-40k,Count,Households,1
CALAM - ISLETON,Income 40k-45k,Count,Households,1
CALAM - ISLETON,Income 45k-50k,Count,Households,0
CALAM - ISLETON,Income 50k-60k,Count,Households,2
CALAM - ISLETON,Income 60k-75k,Count,Households,1
CALAM - ISLETON,Income 75k-100k,Count,Households,1
CALAM - ISLETON,Income 100k-125k,Count,Households,3
CALAM - ISLETON,Income 125k-150k,Count,Households,1
CALAM - ISLETON,Income 150k-200k,Count,Households,0
CALAM - ISLETON,Income Above 200k,Count,Households,1
CALAM - ISLETON,Income 0-25k,Count,Households,4
CALAM - ISLETON,Income 25k-50k,Count,Households,3
CALAM - ISLETON,Income 50k-75k,Count,Households,3
CALAM - ISLETON,Income 0-50k,Count,Households,6
CALAM - ISLETON,Income 50k-100k,Count,Households,4
CALAM - ISLETON,Income 100k-150k,Count,Households,4
CALAM - ISLETON,Mortgage - Total,Count,Households,6
CALAM - ISLETON,Mortgage - Housing Costs Over 30% Income,Count,Households,4
CALAM - ISLETON,Mortgage - Housing Costs Over 50% Income,Count,Households,1
CALAM - ISLETON,No Mortgage - Total,Count,Households,7
CALAM - ISLETON,No Mortgage - Housing Costs Over 30% Income,Count,Households,2
CALAM - ISLETON,No Mortgage - Housing Costs Over 50% Income,Count,Households,2
CALAM - ISLETON,Rent - Total,Count,Households,4
CALAM - ISLETON,Rent - Housing Costs Over 30% Income,Count,Households,1
CALAM - ISLETON,Rent - Housing Costs Over 50% Income,Count,Households,1
CALAM - ISLETON,All Households - Housing Costs Over 30% Income,Percent,Households,39.45
CALAM - ISLETON,All Households - Housing Costs Over 50% Income,Percent,Households,20.68
CALAM - ISLETON,Average Household Size,Hh Weighted,Household Weighted,2.0789934965188213
CALAM - ISLETON,Median Household Income,Hh Weighted,Household Weighted,57361.758044022434
CALAM - ISLETON,Per Capita Income,Pop Weighted,Population Weighted,40672.21234441078
CALAM - LINCOLN OAKS,Total Population,Count,Population,42916
CALAM - LINCOLN OAKS,Hispanic / Latino,Count,Population,9056
CALAM - LINCOLN OAKS,White,Count,Population,26529
CALAM - LINCOLN OAKS,Black / African American,Count,Population,1486
CALAM - LINCOLN OAKS,Native American,Count,Population,143
CALAM - LINCOLN OAKS,Asian,Count,Population,2706
CALAM - LINCOLN OAKS,Pacific Islander,Count,Population,288
CALAM - LINCOLN OAKS,Other / Multiple,Count,Population,2708
CALAM - LINCOLN OAKS,Hispanic / Latino,Percent,Population,21.1
CALAM - LINCOLN OAKS,White,Percent,Population,61.82
CALAM - LINCOLN OAKS,Black / African American,Percent,Population,3.46
CALAM - LINCOLN OAKS,Native American,Percent,Population,0.33
CALAM - LINCOLN OAKS,Asian,Percent,Population,6.31
CALAM - LINCOLN OAKS,Pacific Islander,Percent,Population,0.67
CALAM - LINCOLN OAKS,Other / Multiple,Percent,Population,6.31
CALAM - LINCOLN OAKS,Poverty - Total Assessed,Count,Population,42823
CALAM - LINCOLN OAKS,Poverty - Below Level,Count,Population,4074
CALAM - LINCOLN OAKS,Poverty - Above Level,Count,Population,38749
CALAM - LINCOLN OAKS,Poverty Rate,Percent,Population,9.51
CALAM - LINCOLN OAKS,Total Households,Count,Households,15621
CALAM - LINCOLN OAKS,Income Below 10k,Count,Households,740
CALAM - LINCOLN OAKS,Income 10k-15k,Count,Households,375
CALAM - LINCOLN OAKS,Income 15k-20k,Count,Households,308
CALAM - LINCOLN OAKS,Income 20k-25k,Count,Households,622
CALAM - LINCOLN OAKS,Income 25k-30k,Count,Households,488
CALAM - LINCOLN OAKS,Income 30k-35k,Count,Households,616
CALAM - LINCOLN OAKS,Income 35k-40k,Count,Households,585
CALAM - LINCOLN OAKS,Income 40k-45k,Count,Households,629
CALAM - LINCOLN OAKS,Income 45k-50k,Count,Households,645
CALAM - LINCOLN OAKS,Income 50k-60k,Count,Households,1035
CALAM - LINCOLN OAKS,Income 60k-75k,Count,Households,1641
CALAM - LINCOLN OAKS,Income 75k-100k,Count,Households,2442
CALAM - LINCOLN OAKS,Income 100k-125k,Count,Households,1889
CALAM - LINCOLN OAKS,Income 125k-150k,Count,Households,1272
CALAM - LINCOLN OAKS,Income 150k-200k,Count,Households,1555
CALAM - LINCOLN OAKS,Income Above 200k,Count,Households,778
CALAM - LINCOLN OAKS,Income 0-25k,Count,Households,2046
CALAM - LINCOLN OAKS,Income 25k-50k,Count,Households,2964
CALAM - LINCOLN OAKS,Income 50k-75k,Count,Households,2675
CALAM - LINCOLN OAKS,Income 0-50k,Count,Households,5010
CALAM - LINCOLN OAKS,Income 50k-100k,Count,Households,5118
CALAM - LINCOLN OAKS,Income 100k-150k,Count,Households,3161
CALAM - LINCOLN OAKS,Mortgage - Total,Count,Households,7390
CALAM - LINCOLN OAKS,Mortgage - Housing Costs Over 30% Income,Count,Households,2671
CALAM - LINCOLN OAKS,Mortgage - Housing Costs Over 50% Income,Count,Households,919
CALAM - LINCOLN OAKS,No Mortgage - Total,Count,Households,3332
CALAM - LINCOLN OAKS,No Mortgage - Housing Costs Over 30% Income,Count,Households,503
CALAM - LINCOLN OAKS,No Mortgage - Housing Costs Over 50% Income,Count,Households,298
CALAM - LINCOLN OAKS,Rent - Total,Count,Households,4900
CALAM - LINCOLN OAKS,Rent - Housing Costs Over 30% Income,Count,Households,2523
CALAM - LINCOLN OAKS,Rent - Housing Costs Over 50% Income,Count,Households,1302
CALAM - LINCOLN OAKS,All Households - Housing Costs Over 30% Income,Percent,Households,36.46
CALAM - LINCOLN OAKS,All Households - Housing Costs Over 50% Income,Percent,Households,16.13
CALAM - LINCOLN OAKS,Average Household Size,Hh Weighted,Household Weighted,2.7302804909283616
CALAM - LINCOLN OAKS,Median Household Income,Hh Weighted,Household Weighted,82035.52088760637
CALAM - LINCOLN OAKS,Per Capita Income,Pop Weighted,Population Weighted,33728.94235778291
CALAM - PARKWAY,Total Population,Count,Population,58635
CALAM - PARKWAY,Hispanic / Latino,Count,Population,18665
CALAM - PARKWAY,White,Count,Population,8921
CALAM - PARKWAY,Black / African American,Count,Population,6965
CALAM - PARKWAY,Native American,Count,Population,21
CALAM - PARKWAY,Asian,Count,Population,19228
CALAM - PARKWAY,Pacific Islander,Count,Population,1386
CALAM - PARKWAY,Other / Multiple,Count,Population,3449
CALAM - PARKWAY,Hispanic / Latino,Percent,Population,31.83
CALAM - PARKWAY,White,Percent,Population,15.21
CALAM - PARKWAY,Black / African American,Percent,Population,11.88
CALAM - PARKWAY,Native American,Percent,Population,0.04
CALAM - PARKWAY,Asian,Percent,Population,32.79
CALAM - PARKWAY,Pacific Islander,Percent,Population,2.36
CALAM - PARKWAY,Other / Multiple,Percent,Population,5.88
CALAM - PARKWAY,Poverty - Total Assessed,Count,Population,58434
CALAM - PARKWAY,Poverty - Below Level,Count,Population,9804
CALAM - PARKWAY,Poverty - Above Level,Count,Population,48630
CALAM - PARKWAY,Poverty Rate,Percent,Population,16.78
CALAM - PARKWAY,Total Households,Count,Households,17667
CALAM - PARKWAY,Income Below 10k,Count,Households,1081
CALAM - PARKWAY,Income 10k-15k,Count,Households,753
CALAM - PARKWAY,Income 15k-20k,Count,Households,514
CALAM - PARKWAY,Income 20k-25k,Count,Households,713
CALAM - PARKWAY,Income 25k-30k,Count,Households,694
CALAM - PARKWAY,Income 30k-35k,Count,Households,640
CALAM - PARKWAY,Income 35k-40k,Count,Households,713
CALAM - PARKWAY,Income 40k-45k,Count,Households,700
CALAM - PARKWAY,Income 45k-50k,Count,Households,727
CALAM - PARKWAY,Income 50k-60k,Count,Households,1145
CALAM - PARKWAY,Income 60k-75k,Count,Households,1918
CALAM - PARKWAY,Income 75k-100k,Count,Households,2490
CALAM - PARKWAY,Income 100k-125k,Count,Households,1634
CALAM - PARKWAY,Income 125k-150k,Count,Households,1532
CALAM - PARKWAY,Income 150k-200k,Count,Households,1546
CALAM - PARKWAY,Income Above 200k,Count,Households,865
CALAM - PARKWAY,Income 0-25k,Count,Households,3061
CALAM - PARKWAY,Income 25k-50k,Count,Households,3475
CALAM - PARKWAY,Income 50k-75k,Count,Households,3064
CALAM - PARKWAY,Income 0-50k,Count,Households,6536
CALAM - PARKWAY,Income 50k-100k,Count,Households,5554
CALAM - PARKWAY,Income 100k-150k,Count,Households,3166
CALAM - PARKWAY,Mortgage - Total,Count,Households,7163
CALAM - PARKWAY,Mortgage - Housing Costs Over 30% Income,Count,Households,2719
CALAM - PARKWAY,Mortgage - Housing Costs Over 50% Income,Count,Households,1049
CALAM - PARKWAY,No Mortgage - Total,Count,Households,3418
CALAM - PARKWAY,No Mortgage - Housing Costs Over 30% Income,Count,Households,647
CALAM - PARKWAY,No Mortgage - Housing Costs Over 50% Income,Count,Households,383
CALAM - PARKWAY,Rent - Total,Count,Households,7086
CALAM - PARKWAY,Rent - Housing Costs Over 30% Income,Count,Households,3517
CALAM - PARKWAY,Rent - Housing Costs Over 50% Income,Count,Households,1917
CALAM - PARKWAY,All Households - Housing Costs Over 30% Income,Percent,Households,38.96
CALAM - PARKWAY,All Households - Housing Costs Over 50% Income,Percent,Households,18.96
CALAM - PARKWAY,Average Household Size,Hh Weighted,Household Weighted,3.284607556891153
CALAM - PARKWAY,Median Household Income,Hh Weighted,Household Weighted,72938.51439696936
CALAM - PARKWAY,Per Capita Income,Pop Weighted,Population Weighted,26938.13941161509
CALAM - SUBURBAN ROSEMONT,Total Population,Count,Population,57897
CALAM - SUBURBAN ROSEMONT,Hispanic / Latino,Count,Population,13791
CALAM - SUBURBAN ROSEMONT,White,Count,Population,25062
CALAM - SUBURBAN ROSEMONT,Black / African American,Count,Population,7725
CALAM - SUBURBAN ROSEMONT,Native American,Count,Population,91
CALAM - SUBURBAN ROSEMONT,Asian,Count,Population,6905
CALAM - SUBURBAN ROSEMONT,Pacific Islander,Count,Population,380
CALAM - SUBURBAN ROSEMONT,Other / Multiple,Count,Population,3942
CALAM - SUBURBAN ROSEMONT,Hispanic / Latino,Percent,Population,23.82
CALAM - SUBURBAN ROSEMONT,White,Percent,Population,43.29
CALAM - SUBURBAN ROSEMONT,Black / African American,Percent,Population,13.34
CALAM - SUBURBAN ROSEMONT,Native American,Percent,Population,0.16
CALAM - SUBURBAN ROSEMONT,Asian,Percent,Population,11.93
CALAM - SUBURBAN ROSEMONT,Pacific Islander,Percent,Population,0.66
CALAM - SUBURBAN ROSEMONT,Other / Multiple,Percent,Population,6.81
CALAM - SUBURBAN ROSEMONT,Poverty - Total Assessed,Count,Population,57661
CALAM - SUBURBAN ROSEMONT,Poverty - Below Level,Count,Population,8374
CALAM - SUBURBAN ROSEMONT,Poverty - Above Level,Count,Population,49287
CALAM - SUBURBAN ROSEMONT,Poverty Rate,Percent,Population,14.52
CALAM - SUBURBAN ROSEMONT,Total Households,Count,Households,21045
CALAM - SUBURBAN ROSEMONT,Income Below 10k,Count,Households,1156
CALAM - SUBURBAN ROSEMONT,Income 10k-15k,Count,Households,612
CALAM - SUBURBAN ROSEMONT,Income 15k-20k,Count,Households,472
CALAM - SUBURBAN ROSEMONT,Income 20k-25k,Count,Households,744
CALAM - SUBURBAN ROSEMONT,Income 25k-30k,Count,Households,653
CALAM - SUBURBAN ROSEMONT,Income 30k-35k,Count,Households,568
CALAM - SUBURBAN ROSEMONT,Income 35k-40k,Count,Households,582
CALAM - SUBURBAN ROSEMONT,Income 40k-45k,Count,Households,874
CALAM - SUBURBAN ROSEMONT,Income 45k-50k,Count,Households,628
CALAM - SUBURBAN ROSEMONT,Income 50k-60k,Count,Households,1289
CALAM - SUBURBAN ROSEMONT,Income 60k-75k,Count,Households,2508
CALAM - SUBURBAN ROSEMONT,Income 75k-100k,Count,Households,3438
CALAM - SUBURBAN ROSEMONT,Income 100k-125k,Count,Households,2595
