water_system_name,population_total_count,population_hispanic_or_latino_count,population_white_count,population_black_or_african_american_count,population_native_american_or_alaska_native_count,population_asian_count,population_pacific_islander_count,population_other_count,population_multiple_count,population_hispanic_or_latino_percent,population_white_percent,population_black_or_african_american_percent,population_native_american_or_alaska_native_percent,population_asian_percent,population_pacific_islander_percent,population_other_percent,population_multiple_percent,poverty_total_assessed_count,poverty_below_level_count,poverty_above_level_count,poverty_rate_percent,households_count,households_income_below_10k_count,households_income_10k_15k_count,households_income_15k_20k_count,households_income_20k_25k_count,households_income_25k_30k_count,households_income_30k_35k_count,households_income_35k_40k_count,households_income_40k_45k_count,households_income_45k_50k_count,households_income_50k_60k_count,households_income_60k_75k_count,households_income_75k_100k_count,households_income_100k_125k_count,households_income_125k_150k_count,households_income_150k_200k_count,households_income_above_200k_count,households_income_25k_brackets_0_25k_count,households_income_25k_brackets_25k_50k_count,households_income_25k_brackets_50k_75k_count,households_income_50k_brackets_0_50k_count,households_income_50k_brackets_50k_100k_count,households_income_50k_brackets_100k_150k_count,households_mortgage_total_count,households_mortgage_housing_costs_over30pct_count,households_mortgage_housing_costs_over50pct_count,households_no_mortgage_total_count,households_no_mortgage_housing_costs_over30pct_count,households_no_mortgage_housing_costs_over50pct_count,households_rent_total_count,households_rent_housing_costs_over30pct_count,households_rent_housing_costs_over50pct_count,households_all_housing_costs_over30pct_percent,households_all_housing_costs_over50pct_percent,average_household_size_hh_weighted,median_household_income_hh_weighted,per_capita_income_pop_weighted
FREEPORT MARINA,3,2,1,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0,0,3,1,3,33.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,56250,23510
"GALT, CITY OF",21490,9314,9952,520,22,872,20,0,789,43.34,46.31,2.42,0.1,4.06,0.09,0,3.67,21341,1404,19937,6.58,6988,139,168,243,210,141,342,161,347,152,550,687,807,1096,504,789,650,760,1143,1237,1903,2044,1600,3724,907,523,1454,109,44,1809,906,414,27.5,14.04,3.048248495417214,90632.93312213461,33685.5413512566
GOLDEN STATE WATER CO - ARDEN WATER SERV,6556,1706,2887,322,0,888,11,86,656,26.02,44.04,4.91,0,13.54,0.17,1.31,10.01,6453,1626,4828,25.2,2173,19,82,19,141,53,173,34,179,37,139,351,319,132,172,141,183,261,476,490,737,809,304,728,239,123,131,0,0,1315,599,335,38.56,21.08,2.8977160737987506,66579.356425836,30417.362367453836
GOLDEN STATE WATER CO. - CORDOVA,48115,9009,26042,3982,229,6050,188,210,2405,18.72,54.12,8.28,0.48,12.57,0.39,0.44,5,47835,4408,43427,9.22,18022,509,482,310,496,480,437,389,469,598,1276,1692,2653,2565,1671,1948,2047,1797,2373,2968,4170,5621,4236,7380,2174,836,3506,364,201,7137,2744,1410,29.31,13.58,2.6507166775240423,96697.06109071148,42695.412199827406
HAPPY HARBOR (SWS),0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
HOLIDAY MOBILE VILLAGE,46,18,7,3,0,15,0,0,3,39.13,15.22,6.52,0,32.61,0,0,6.52,46,10,36,21.74,16,2,1,0,1,0,1,5,1,0,0,2,2,1,0,0,0,4,7,2,11,4,1,2,0,0,2,1,1,12,6,4,43.75,31.25,2.86,38491,16707
HOOD WATER MAINTENCE DIST [SWS],1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,23510
IMPERIAL MANOR MOBILEHOME COMMUNITY,209,52,129,1,0,6,0,0,21,24.88,61.72,0.48,0,2.87,0,0,10.05,209,45,164,21.53,124,4,26,18,3,0,16,7,5,6,1,4,29,0,0,0,6,51,34,5,85,34,0,9,0,0,89,37,34,27,27,22,51.61,45.16,1.6803625908618791,31831.837612603995,32878.16681958172
KORTHS PIRATES LAIR,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
LAGUNA DEL SOL INC,24,5,18,0,0,0,0,0,0,20.83,75,0,0,0,0,0,0,24,2,22,8.33,9,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,2,2,0,0,2,2,0,5,2,2,3,0,0,2,0,0,22.22,22.22,2.64,95227,50793
LAGUNA VILLAGE RV PARK,20,3,2,1,0,11,2,0,2,15,10,5,0,55,10,0,10,20,2,18,10,7,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,2,1,3,1,0,1,0,0,3,1,0,28.57,0,3.03,84332,32668
LINCOLN CHAN-HOME RANCH,4,2,2,0,0,0,0,0,0,50,50,0,0,0,0,0,0,4,1,3,25,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2.49,68248,38950
LOCKE WATER WORKS CO [SWS],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,38950
MAGNOLIA MUTUAL WATER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,38950
MC CLELLAN MHP,269,52,108,65,0,43,0,0,2,19.33,40.15,24.16,0,15.99,0,0,0.74,269,101,168,37.55,82,8,2,3,7,11,2,2,1,3,1,15,20,3,0,3,0,20,19,16,39,36,3,9,4,2,25,1,1,48,34,27,47.56,36.59,3.28,60521,18213
OLYMPIA MOBILODGE,290,70,81,18,0,101,16,0,3,24.14,27.93,6.21,0,34.83,5.52,0,1.03,290,68,222,23.45,114,11,0,6,10,9,3,13,0,0,10,19,8,3,12,5,5,27,25,29,52,37,15,31,22,10,51,12,10,33,9,7,37.72,23.68,2.5100000000000002,53786,29451
ORANGE VALE WATER COMPANY,17387,2658,12308,241,181,633,86,35,1247,15.29,70.79,1.39,1.04,3.64,0.49,0.2,7.17,17288,1904,15384,11.01,6595,389,111,61,94,226,58,274,120,181,372,752,990,901,626,678,766,655,859,1124,1514,2114,1527,3246,1021,453,1686,315,185,1663,693,305,30.77,14.3,2.608348457768683,92693.71491876646,42509.89363050402
PLANTATION MOBILE HOME PARK,10,4,1,1,0,3,0,0,1,40,10,10,0,30,0,0,10,10,2,7,20,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,33.33,33.33,2.86,38491,16707
RANCHO MARINA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
RANCHO MURIETA COMMUNITY SERVI,3239,661,2157,120,7,188,0,38,68,20.41,66.59,3.7,0.22,5.8,0,1.17,2.1,3239,199,3040,6.14,1402,59,42,0,6,5,18,74,27,75,44,81,88,118,204,241,319,107,199,125,306,213,322,1029,205,103,270,63,57,103,41,40,22.04,14.27,2.307704065813508,144993.80707581018,66451.34059033732
RIO COSUMNES CORRECTIONAL CENTER [SWS],22,6,8,4,1,1,0,1,1,27.27,36.36,18.18,4.55,4.55,0,4.55,4.55,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.45,115897.00000000001,11095
RIO LINDA/ELVERTA COMMUNITY WATER DIST,11831,2585,7595,337,17,765,21,90,423,21.85,64.2,2.85,0.14,6.47,0.18,0.76,3.58,11829,1619,10210,13.69,3762,177,156,67,169,56,113,116,114,118,173,297,607,492,431,416,259,569,517,470,1086,1077,923,1918,573,157,773,114,47,1070,519,340,32.06,14.46,3.1230123203938827,83603.04124462775,33734.48719704626
RIVER'S EDGE MARINA & RESORT,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
SAC CITY MOBILE HOME COMMUNITY LP,229,82,17,7,0,123,0,0,0,35.81,7.42,3.06,0,53.71,0,0,0,229,110,119,48.03,89,11,16,9,10,8,0,0,4,2,7,1,13,4,4,0,0,46,14,8,60,21,8,4,2,2,15,2,0,71,41,30,50.56,35.96,2.53,22380,16689
SACRAMENTO SUBURBAN WATER DISTRICT,193126,43047,97872,17684,834,20602,624,856,11608,22.29,50.68,9.16,0.43,10.67,0.32,0.44,6.01,190984,33399,157585,17.49,72505,3817,3001,3069,2884,3205,3100,3337,2893,2342,5541,6792,10037,6480,4342,5488,6177,12771,14877,12333,27648,22370,10822,23467,7204,2837,12037,2087,1160,37001,21072,10274,41.88,19.68,2.635470822506937,73746.51448559026,35321.17943972356
SAN JUAN WATER DISTRICT,30122,3409,21349,831,287,2762,17,74,1393,11.32,70.88,2.76,0.95,9.17,0.06,0.25,4.62,30014,1718,28297,5.72,10750,389,168,100,275,128,160,111,133,127,472,684,984,854,876,1032,4256,932,659,1156,1591,2140,1730,6210,1754,724,2883,528,357,1658,726,339,27.98,13.21,2.7838582261197615,160696.10105741228,72978.42336271124
SCWA - ARDEN PARK VISTA,8086,990,6016,270,12,396,8,52,343,12.24,74.4,3.34,0.15,4.9,0.1,0.64,4.24,8038,523,7515,6.51,3303,79,36,48,77,65,38,18,49,162,139,187,253,465,208,416,1065,240,332,326,572,579,673,1823,520,112,673,76,23,807,384,225,29.67,10.9,2.424845516612799,139081.65196802403,84548.46138496802
SCWA - LAGUNA/VINEYARD,145495,27502,38496,16568,246,50411,2220,535,9516,18.9,26.46,11.39,0.17,34.65,1.53,0.37,6.54,145198,14710,130489,10.13,45137,1692,666,742,878,839,1336,850,788,752,2363,3198,6037,5323,5057,6578,8038,3978,4565,5561,8543,11598,10380,24581,7232,2916,7878,861,471,12677,6368,3337,32.04,14.9,3.2074469367308294,114494.03008793297,41415.71495309661
SCWA MATHER-SUNRISE,18249,2708,8114,1553,23,4507,164,61,1119,14.84,44.46,8.51,0.13,24.7,0.9,0.33,6.13,18211,1005,17206,5.52,5503,228,35,97,57,68,39,12,20,36,189,320,533,645,755,1003,1469,417,175,509,592,1042,1400,3756,881,266,855,60,43,893,318,167,22.88,8.65,3.296327128817464,147818.00762610507,47448.3691116171
SEQUOIA WATER ASSOC,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
SOUTHWEST TRACT W M D [SWS],174,29,42,24,3,75,1,0,0,16.67,24.14,13.79,1.72,43.1,0.57,0,0,174,38,136,21.84,57,1,2,7,0,7,0,0,10,12,3,2,5,0,1,2,4,10,29,5,39,10,1,3,1,0,8,0,0,45,29,7,52.63,12.28,3.04,45671,36348
SPINDRIFT MARINA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
TOKAY PARK WATER CO,652,214,134,37,0,239,0,0,28,32.82,20.55,5.67,0,36.66,0,0,4.29,652,113,539,17.33,173,2,2,3,21,0,0,13,13,10,18,27,36,14,4,10,0,28,36,45,64,81,18,81,38,11,44,0,0,48,32,12,40.46,13.29,3.7579731008260437,62802.23785121953,19400.04804878149
TUNNEL TRAILER PARK,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"VIEIRA'S RESORT, INC",4,2,2,0,0,0,0,0,0,50,50,0,0,0,0,0,0,4,1,3,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,50,0,2.03,51977,40522
WESTERNER MOBILE HOME PARK,32,6,6,9,0,10,0,0,1,18.75,18.75,28.12,0,31.25,0,0,3.12,31,7,24,22.58,10,1,0,0,0,1,0,0,1,0,2,1,1,2,0,1,0,1,2,3,3,4,2,4,2,1,1,0,0,5,3,2,50,30,3.16,59296.00000000001,23437
